G6Z,('46.721682', '-71.200985')
N3A,('43.4043219', '-80.6480112')
T4B,('51.323458', '-114.068308')
G1N,('46.8021616', '-71.2730525')
H9W,('45.427572', '-73.8714365')
V1B,('50.3188895', '-119.1929605')
S4N,('50.458095', '-104.547509')
J8R,('45.5277655', '-75.6294764')
G1X,('46.772269', '-71.337855')
N4N,('44.149449', '-81.03273')
E9G,('47.280498', '-65.04201')
E2M,('45.235493', '-66.128332')
T1H,('49.70938', '-112.812764')
G8T,('46.376633', '-72.525974')
J1T,('45.778581', '-71.932029')
G3H,('46.763365', '-71.685325')
N5Z,('42.9675666', '-81.2123206')
N9E,('42.2658096', '-83.030767')
G2B,('46.731399', '-71.461167')
B4B,('44.7567677', '-63.7952704')
L7P,('43.3682585', '-79.82957')
E4H,('45.639275', '-65.03542')
M2H,('43.810172', '-79.360257')
B3Z,('44.598575', '-63.926527')
M2N,('43.7722911', '-79.3993809')
G7G,('48.439939', '-71.061553')
K8P,('44.150043', '-77.400125')
N4K,('44.567445', '-80.937492')
R2G,('49.949237', '-97.08476')
K9K,('44.296197', '-78.364761')
A1B,('47.550575', '-52.746072')
V4N,('49.147356', '-122.773198')
H1B,('45.634951', '-73.501417')
N2J,('43.473678', '-80.524197')
P9N,('49.774723', '-94.44939')
P7E,('48.382507', '-89.255503')
L1Z,('43.894827', '-79.015392')
V0K,('51.689697', '-121.312657')
L4R,('44.751607', '-79.87134')
R1N,('49.9714735', '-98.3151087')
H1J,('45.608243', '-73.578629')
G5R,('47.836496', '-69.538995')
S3N,('51.224858', '-102.447081')
V2N,('53.906408', '-122.799659')
T8L,('53.701804', '-113.212857')
M8Y,('43.645746', '-79.509435')
K4P,('45.251073', '-75.569873')
J9E,('46.384643', '-75.960658')
G2J,('46.844082', '-71.281781')
N8T,('42.296284', '-82.948458')
V5X,('49.217415', '-123.101995')
M4R,('43.716591', '-79.405648')
G3C,('47.024588', '-71.358811')
A1W,('47.521181', '-52.941944')
S6K,('50.381822', '-105.580326')
N8Y,('42.322564', '-82.999698')
L9T,('43.516073', '-79.847747')
A0H,('47.522173', '-55.414707')
K6A,('45.606829', '-74.606387')
L8T,('43.209972', '-79.840555')
V9L,('48.754639', '-123.757094')
H4M,('45.500146', '-73.687776')
V9W,('50.0312035', '-125.2701045')
T5L,('53.593588', '-113.565717')
N1A,('42.904222', '-79.602505')
H7N,('45.559658', '-73.685448')
J7R,('45.5580951', '-73.9266376')
G3L,('46.889741', '-71.834916')
T3E,('51.003896', '-114.126995')
N2K,('43.500942', '-80.515374')
G9P,('46.537267', '-72.700827')
P5A,('46.392629', '-82.658879')
P9A,('48.606209', '-93.3926')
T6B,('53.519872', '-113.433995')
G1S,('46.794274', '-71.26596')
G9A,('46.34089', '-72.549928')
T6X,('53.4158884', '-113.4447708')
L1W,('43.818073', '-79.110016')
B2Y,('44.6684741', '-63.5662357')
G6B,('45.585906', '-70.91006')
T9X,('53.351231', '-110.840417')
N2V,('43.4917077', '-80.5368044')
N7L,('42.411329', '-82.20558')
H7M,('45.5951728820801', '-73.7142715454102')
L1N,('43.86269', '-78.932971')
T1B,('50.007386', '-110.657078')
N6H,('42.983104', '-81.262793')
K2J,('45.2678321', '-75.7617426')
V3M,('49.204071', '-122.920053')
L1M,('43.959264', '-78.961895')
L5E,('43.578837', '-79.559545')
T3L,('51.119893', '-114.250002')
L1H,('43.890008', '-78.836253')
J4B,('45.613876', '-73.44506')
G6T,('46.062439', '-71.997241')
E1W,('47.484011', '-64.91757')
L8P,('43.2583209', '-79.8827318')
V2V,('49.14963', '-122.255254')
E1N,('47.05045', '-65.43143')
J6X,('45.715687', '-73.669978')
L9V,('44.085225', '-80.209767')
J1J,('45.405218', '-71.931014')
G5C,('49.196264', '-68.25914')
G8L,('48.8847369', '-72.2090933')
H1V,('45.557824', '-73.533825')
T1K,('49.659346', '-112.810994')
G4Z,('49.209637', '-68.180115')
J3Z,('45.470914', '-73.401396')
J3A,('45.33297', '-73.284352')
L9A,('43.234638', '-79.865204')
N3S,('43.129301', '-80.249124')
R3G,('49.883982', '-97.17925')
G2L,('46.888593', '-71.254866')
J8V,('45.5354811', '-75.7513182')
V7K,('49.34541', '-123.037924')
E4M,('46.095186', '-64.040504')
H2H,('45.533837', '-73.576267')
J5X,('45.8675656', '-73.5264492')
C1N,('46.406341', '-63.779202')
V3C,('49.266013', '-122.785159')
E4X,('46.7649', '-65.109552')
A1E,('47.528833', '-52.764809')
L4T,('43.728189', '-79.631419')
L1J,('43.89363', '-78.872728')
J4K,('45.522402', '-73.497483')
V9Z,('48.376622', '-123.735975')
G8A,('48.414831', '-71.263166')
T9C,('53.497911', '-112.072942')
J8X,('45.42772', '-75.71962')
H4J,('45.527', '-73.709188')
V3X,('49.045768', '-122.862693')
B5A,('43.854425', '-66.112207')
H3B,('45.49968', '-73.569881')
J9T,('48.570722', '-78.121626')
N2M,('43.4354963', '-80.512853')
M5T,('43.652036', '-79.397955')
K2P,('45.416672', '-75.697451')
H1X,('45.557051', '-73.584531')
L6Y,('43.649599', '-79.730469')
S6J,('50.419807', '-105.538941')
N9C,('42.283571', '-83.066276')
G5H,('48.586491', '-68.194948')
J8Y,('45.440087', '-75.745813')
P7C,('48.388461', '-89.299135')
M5W,('43.646806', '-79.376055')
T9S,('54.72112', '-113.259546')
N4G,('42.8526741', '-80.7484502')
T9H,('56.71022', '-111.348198')
M1E,('43.785587', '-79.206136')
R2J,('49.855498', '-97.08588')
G4W,('48.8411598', '-67.523205')
V4K,('49.080835', '-123.083458')
L1E,('43.8997639', '-78.7992984')
E8B,('47.8332023620605', '-67.0526733398438')
G1H,('46.8632058', '-71.2638248')
B3L,('44.654931', '-63.607452')
M1S,('43.785675', '-79.280924')
N6L,('42.9273677', '-81.2519924')
E4Y,('46.742028', '-65.439342')
A2A,('48.9345023', '-55.6574011')
M3H,('43.76577', '-79.453477')
A1M,('47.6218346', '-52.8364776')
L6M,('43.449534', '-79.71071')
J9B,('45.5401738', '-75.867482')
L9W,('43.900205', '-80.12433')
V5W,('49.240163', '-123.09032')
L8M,('43.248396', '-79.829565')
B2H,('45.60253', '-62.634459')
V6S,('49.254574', '-123.193153')
G3N,('46.860154', '-71.610192')
T2E,('51.0778395', '-114.061208')
R4K,('49.8426170349121', '-97.6725082397461')
E7M,('46.142299', '-67.593189')
G2G,('46.912322', '-71.383661')
H8S,('45.431871', '-73.66929')
V7R,('49.356768', '-123.090575')
B1V,('46.2359194', '-60.2263373')
V6N,('49.239423', '-123.190694')
T9V,('53.2615775', '-110.0179505')
G8Y,('46.359444', '-72.598544')
J7K,('45.747956', '-73.605072')
L1T,('43.857494', '-79.060328')
M1P,('43.762962', '-79.260617')
E1H,('46.14243', '-64.789268')
J2Y,('45.332627', '-73.3357348')
N6C,('42.960962', '-81.253005')
E4J,('45.987219', '-65.085473')
J7W,('45.37258', '-73.970275')
A0B,('47.3278176', '-53.4505056')
V4P,('49.053891', '-122.856412')
J2H,('45.435418', '-72.743692')
V3G,('49.059442', '-122.28663')
M6S,('43.6633205', '-79.496112')
V6E,('49.285706', '-123.128546')
G9B,('46.3196126', '-72.6211379')
B3J,('44.646006', '-63.570789')
N5A,('43.36053', '-80.983939')
V3T,('49.194592', '-122.855102')
V5M,('49.2534539', '-123.0414324')
K2K,('45.31523', '-75.918778')
E7L,('46.551223', '-67.214875')
K7P,('44.264989', '-76.550446')
H1N,('45.570049', '-73.535485')
S7H,('52.1118905', '-106.666504')
G8Z,('46.334185', '-72.591399')
E5B,('45.138983', '-67.074695')
T2C,('50.96997', '-113.911908')
T5N,('53.531664', '-113.572722')
T2Z,('50.905021', '-113.960048')
H2J,('45.523657', '-73.576234')
G2M,('46.9242289', '-71.312365')
T2P,('51.0508055', '-114.0709065')
V9E,('48.5215381', '-123.4397047')
M6B,('43.706601', '-79.465311')
J4Z,('45.46814', '-73.465026')
K4C,('45.484559', '-75.375058')
E9B,('46.733673', '-65.84099')
J1L,('45.395792', '-71.95334')
L6L,('43.411644', '-79.714247')
G6J,('46.664852', '-71.329724')
H3J,('45.48471', '-73.574957')
S0G,('51.3111891', '-104.9926783')
K6K,('45.099494', '-74.695283')
V1V,('49.893151', '-119.436904')
V5H,('49.226709', '-123.0085419')
J7E,('45.6586929', '-73.8389505')
P3E,('46.461759', '-81.018097')
R2M,('49.846931', '-97.112505')
E8T,('47.833', '-64.696')
V4C,('49.167916', '-122.893595')
G0G,('50.116865', '-62.413553')
T3M,('50.8780691', '-113.9757011')
L6H,('43.458812', '-79.71149')
V1K,('50.118629', '-120.768016')
L2T,('43.131716', '-79.223961')
M1J,('43.747466', '-79.229002')
N8X,('42.299102', '-83.031884')
L5H,('43.552554', '-79.616177')
L8S,('43.261506', '-79.905964')
R0M,('49.984442', '-100.680883')
V2R,('49.086652', '-122.05237')
K7C,('45.143286', '-76.146959')
P3Y,('46.4235176', '-81.118282')
H7X,('45.518584', '-73.80804')
H3C,('45.491327', '-73.561963')
H4Z,('45.513337', '-73.533843')
L1X,('43.931371', '-79.023588')
J8M,('45.536337', '-75.36004')
E3Y,('47.050222', '-67.758166')
H7J,('45.647067', '-73.725188')
L6T,('43.711509', '-79.696994')
T8H,('53.55003', '-113.27723')
E8G,('47.8727735', '-66.1291447')
R2C,('49.900649', '-96.963224')
V8M,('48.552335', '-123.37479')
E1J,('45.965897', '-64.8560239')
B2A,('46.208781', '-60.252699')
V5S,('49.229135', '-123.029213')
L5B,('43.583502', '-79.630799')
H3H,('45.497186', '-73.583647')
H2B,('45.580201', '-73.649682')
G1L,('46.826754', '-71.234462')
V4M,('49.0044079', '-123.0768616')
L9Z,('44.46976', '-80.10158')
J2T,('45.613248', '-72.950275')
E6H,('45.980199', '-67.427554')
J8E,('46.112633', '-74.583657')
B2G,('45.612611', '-62.014378')
S9V,('53.275196', '-110.003562')
E1E,('46.087124', '-64.823278')
L4G,('43.983452', '-79.474323')
M4T,('43.688429', '-79.393058')
K6J,('45.025876', '-74.733022')
R2Y,('49.900073', '-97.293054')
